WKT,id,codigo,nombre,ubicacion,tipo,horario,anclajes_t
"POINT (-58.3747109506359 -34.5924239181221)","2","2",002 - Retiro I,"Ramos Mejia, Jose Maria, Dr. Av. & Del Libertador Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.368256111128 -34.611033074021)","3","3",003 - ADUANA,Moreno & Av Paseo Colon,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3687766674259 -34.6018228613782)","4","4",004 - Plaza Roma,Lavalle & Bouchard,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.420951914897 -34.5805498216605)","5","5",005 - Plaza Italia,Av. Sarmiento 2601,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"42"
"POINT (-58.3697538990917 -34.6285274659984)","6","6",006 - Parque Lezama,"Avenida Martin Garcia, 295",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3810942201453 -34.6064989079791)","7","7",007 - OBELISCO,CARLOS PELEGRINI 215,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.3893329884138 -34.6094227344644)","8","8",008 - Congreso,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.4077381929972 -34.5854432977906)","9","9",009 - Parque Las Heras,"2300 Diaz, Cnel. Av. & French",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.3888034467677 -34.5927101559138)","11","12",012 - Plaza Vicente Lopez,Parana & Juncal,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4059972958341 -34.6100908682761)","12","13",013 - ONCE,Av. Pueyrredon & Av. Rivadavia,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.4263849214833 -34.5774240238566)","13","14",014 - Pacifico,"Santa Fe Av. & Bullrich, Int. Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.4187284062523 -34.6064108220505)","16","17",017 - Plaza Almagro,"441 Bulnes & Peron, Juan Domingo, Tte. General",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4417741874136 -34.579861904009)","18","20",020 - Distrito Audiovisual,Zapiola & Dorrego,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4064295289892 -34.6401125513497)","19","21",021 - Parque Patricios,Iguazu & Uspallata,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.3825459912056 -34.5938635127407)","20","22",022 - Arenales,Cerrito & Arenales,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3798321215593 -34.600139769095)","21","23",023 - Suipacha,"Suipacha & Viamonte, 709",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.3808905407121 -34.610584002164)","22","24",024 - ALSINA,Adolfo Alsina& Bernardo De Irigoyen,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"18"
"POINT (-58.4161153745592 -34.5894272476256)","23","25",025 - Plaza Guemes,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.3638677528182 -34.600752860888)","24","26",026 - JUANA MANSO I,"Manso Juana & De La Barra, Emma",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.3900852461919 -34.5990686946381)","25","27",027 - Montevideo,Cordoba Av. & Montevideo,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4335557423123 -34.6079420843387)","27","29",029 - Parque Centenario,Av. Patricias Argentinas & Estivao,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.3973665942558 -34.5908215710522)","28","30",030 - Peña,Peña & Azcuenaga,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3735943089618 -34.6072083607413)","30","32",032 - Catedral,67 San Martin,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.3989776069524 -34.5970915061268)","31","33",033 - Facultad de Medicina,Pres. José Evaristo Uriburu 987,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3718427582335 -34.5964253233404)","32","35",035 - INGENIERO BUTTY,Ing. E. Butty 291,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3828365261875 -34.5970503839888)","35","38",038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4076323535048 -34.6364525618911)","38","41",041 - Urquiza y Rondeau,"Urquiza, Gral. & Rondeau",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3800268616491 -34.6046082700605)","39","42",042 - Diagonal Norte,"Saenz Peña 938, Roque, Pres. Diagonal Norte Av. & Suipacha",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"18"
"POINT (-58.3899174317068 -34.5840183523498)","40","334",334 - CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4138802808954 -34.5755148415385)","41","44",044 - Ecoparque,"Av. Del Libertador, 3260",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3866898229969 -34.6018642749649)","42","45",045 - Uruguay,561 Uruguay & Av. Tucuman,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3743709065845 -34.6163023644433)","43","46",046 - Chile,"Calle Perú, 718",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"18"
"POINT (-58.3621265468935 -34.624256405674)","45","34",034 - Colonia Express,150 Dellepiane Y Pedro de Mendoza,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4226091321391 -34.629053919652)","46","49",049 - 33 Orientales,Constitucion & Treinta Y Tres Orientales,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4010767000307 -34.5837350914111)","47","50",050 - Hospital Rivadavia,2516 Pereyra Lucena,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3821223276689 -34.601478388452)","48","51",051 - TUCUMAN,Tucuman & 9 De Julio Av.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4219822840508 -34.5981188170432)","51","54",054 - Acuña de Figueroa,"Lavalle & Acuña De Figueroa, Francisco",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4259969848864 -34.5885672796636)","53","56",056 - Plaza Palermo Viejo,Costa Rica & Armenia,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4346865559259 -34.5752772343024)","55","58",058 - Ministro Carranza,Santa Fe Av. & Dorrego,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3805612773066 -34.6176551651145)","56","18",018 - Independencia,Idependencia y Bernardo de Irigoyen,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3710747631044 -34.6016517462761)","57","60",060 - 25 De Mayo,527 25 De Mayo,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3730578249681 -34.598600767028)","60","63",063 - Reconquista,Reconquista 76 & Cordoba Av.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3941053769899 -34.5936513514892)","61","64",064 - RIOBAMBA,Riobamba 1264 & Juncal,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4157848455043 -34.5873127010488)","62","65",065 - Julián Álvarez,3822 Guemes,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4138688164949 -34.5945479753404)","63","66",066 - Billinghurst,3508 Carcova,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4046063371569 -34.5961011560411)","65","69",069 - Ecuador,"1226 Ecuador & Mansilla, Lucio Norberto, General",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4260577169383 -34.5926865732537)","66","70",070 - ARAOZ,1413 Araoz & Gorriti CABA,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3833521880124 -34.6026681095854)","67","71",071 - CERRITO,Libertad & lavalle,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.3718195016088 -34.6306829051355)","69","73",073 - Ruy Díaz de Guzmán,Avenida Martin Garcia y Ruy Díaz de Guzmán,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4345384582746 -34.6043905985334)","70","74",074 - INSTITUTO  LELOIR,Juana De Ibarbourou & Av Patricias Argentinas,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.3989841159144 -34.6122985529236)","71","75",075 - Plaza Primero de Mayo,238 Pichincha,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3950516151538 -34.6074092606059)","72","76",076 - Ayacucho,"Ayacucho &Peron, Juan Domingo, Tte. General",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3639255346178 -34.6118911147008)","75","79",079 - AZUCENA VILLAFLOR,"Villaflor, Azucena & Dealessi, Pierina",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.4303750265069 -34.6244360762016)","76","80",080 - DOBLAS,608 Doblas & Valle,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4263928399857 -34.6078924183071)","78","82",082 - HOSPITAL ITALIANO,394 Rawson & Potosi,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.389369346005 -34.6032697939404)","79","83",083 - Paraná,1590 Lavalle,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3955111981761 -34.6023210423103)","80","84",084 - Lavalle,Ayacucho 595,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4091757205161 -34.5948062041797)","81","85",085 - AGUERO,"Aguero & Mansilla, Lucio Norberto, General",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4016779936729 -34.6212692444383)","82","86",086 - SAAVEDRA,1019 Saavedra,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.431492640704 -34.6198459659871)","83","87",087 - Guayaquil,Guayaquil & Doblas,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4056641848969 -34.5825477419399)","85","89",089 - Cabello,3082 Cabello,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3975989943363 -34.6174492772101)","87","91",091 - Pasco,708 Pasco & Chile,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4053360222206 -34.6316457633862)","88","92",092 - Salcedo,2908 Salcedo & Dean Funes,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3944603859313 -34.6207991689907)","89","93",093 - CARLOS CALVO,Sarandi 1010,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4496510028765 -34.5915112308137)","90","94",094 - GÚZMAN,Av Guzman 129 & Leiva,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.3781638652962 -34.6021129222324)","91","95",095 - ESMERALDA,ESMERALDA 516,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4116560821233 -34.6027820739053)","92","96",096 - Carlos Gardel,3302 Guardia Vieja & Aguero,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4354064354036 -34.596096505182)","94","99",099 - Malabia,780 Malabia & Loyola,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4424383822345 -34.5891859132009)","95","101",101 - Fitz Roy,Fitz Roy  1092 & Loyola,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4552112092487 -34.5876171147853)","97","104",104 - Federico Lacroze,Av. Guzman 1100 & Av. Corrientes,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.3958490129872 -34.6303753807798)","100","107",107 - HOSPITAL GARRAHAN,Brasil & Pichincha,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.3646813208631 -34.6054886649491)","102","111",111 - MACACHA GUEMES,Machaca Guemes 350,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"30"
"POINT (-58.3803802298428 -34.6120760386945)","103","112",112 - 9 de Julio,Bernardo Irigoyen 320,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3722511651173 -34.5949751882826)","104","114",114 - DELLA PAOLERA,"Della Paolera 297, Carlos M. & Av. Leandro N. Alem",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4025864239259 -34.5921712763202)","106","116",116 - HOSPITAL ALEMÁN,Beruti & Ecuador,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.3741719253076 -34.6201020521277)","107","117",117 - HUMBERTO 1°,Peru  1016,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4026503042792 -34.6170206427367)","108","118",118 - MEXICO,Saavedra & Mexico,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4092850875564 -34.6175100214519)","110","120",120 - HOSPITAL RAMOS MEJIA,3084 Agrelo,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4285074809885 -34.6011737547389)","111","121",121 - YATAY,925 Yatay& Humahuaca,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4119623359704 -34.5805381653637)","113","124",124 - UGARTECHE,3050 Ugarteche,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3692202603994 -34.6402689367212)","114","126",126 - Ministerio de Justicia y Seguridad,"Regimiento De Patricios Av. & Araoz De Lamadrid, Gregorio, Gral.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.3689074892767 -34.6041147130164)","116","128",128 - PARQUE DEL BAJO,"Madero, Eduardo Av. & Peron, Juan Domingo, Tte. General",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3745377410695 -34.5921062117227)","117","130",130 - RETIRO II,"Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"40"
"POINT (-58.3990127178167 -34.5984049359032)","118","131",131- HOSPITAL DE CLÍNICAS,"Uriburu Jose E., Pres. & Paraguay",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.3727588463583 -34.6033693772442)","119","132",132 - CORRIENTES,Reconquista & Corrientes Av.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4167773315577 -34.6122311916337)","120","134",134 - DON BOSCO,Maza y don Bosco,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3787816568915 -34.5972825090596)","121","135",135 - MARCELO T. DE ALVEAR,902 Esmeralda,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.367488011291 -34.6155988819474)","122","137",137 - AZOPARDO Y CHILE,AZOPARDO 700,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3876691036142 -34.6353610345817)","123","138",138 - Hospital Britanico,153 Perdriel,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4060916410511 -34.6018750804349)","126","144",144 - PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
